City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,64.0,72,20,6.91,AU,1613427407
Fort Morgan,40.2503,-103.8,10.4,48,1,4.61,US,1613427407
Yellowknife,62.456,-114.3525,0.0,71,20,12.66,CA,1613427408
Plácido de Castro,-10.3353,-67.1856,80.71,93,57,2.04,BR,1613427409
Avarua,-21.2078,-159.775,84.2,74,0,4.61,CK,1613427495
Port Hedland,-20.3167,118.5667,78.8,89,75,11.5,AU,1613427409
Nilai,2.8169,101.7956,78.01,88,20,2.3,MY,1613427409
Atuona,-9.8,-139.0333,78.71,77,31,12.71,PF,1613427410
Mahibadhoo,3.7833,72.9667,81.12,71,0,8.41,MV,1613427410
Vila Franca do Campo,37.7167,-25.4333,57.2,62,20,17.27,PT,1613427410
Tirau,-37.9833,175.75,70.0,89,100,1.99,NZ,1613427410
Boa Vista,2.8197,-60.6733,87.8,45,75,12.66,BR,1613427410
Kavieng,-2.5744,150.7967,83.95,74,46,8.41,PG,1613427410
Bredasdorp,-34.5322,20.0403,60.8,67,97,2.3,ZA,1613427410
Port Alfred,-33.5906,26.891,66.99,81,27,9.57,ZA,1613427411
Kaka,37.3482,59.6143,52.2,44,0,0.94,TM,1613427411
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-0.4,71,0,11.18,RU,1613427411
Pringsewu,-5.3582,104.9744,73.31,94,98,3.87,ID,1613427411
Portobelo,9.55,-79.65,86.0,66,76,8.97,PA,1613427411
Arraial do Cabo,-22.9661,-42.0278,75.2,88,75,9.22,BR,1613427411
George Town,5.4112,100.3354,78.01,88,20,5.84,MY,1613427401
Marsh Harbour,26.5412,-77.0636,76.53,82,3,14.23,BS,1613427411
Severo-Kuril'sk,50.6789,156.125,22.05,89,3,4.79,RU,1613427517
Bethel,41.3712,-73.414,30.99,93,90,4.61,US,1613427412
Tiksi,71.6872,128.8694,-8.41,91,100,6.73,RU,1613427412
Wuwei,37.9281,102.6414,34.0,31,99,0.67,CN,1613427412
Busselton,-33.65,115.3333,64.99,95,6,4.0,AU,1613427413
Manggar,-2.8833,108.2667,77.43,82,71,10.33,ID,1613427413
Davila,18.4726,120.5763,69.8,78,20,2.3,PH,1613427307
Jamestown,42.097,-79.2353,25.0,86,90,6.91,US,1613427306
Kapaa,22.0752,-159.319,78.01,78,90,9.22,US,1613427526
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,3.22,US,1613427527
